window_flank,sequence_length,model,accuracy,macro_precision,macro_recall,macro_f1,auroc,auprc,donor_f1,acceptor_f1,non_splice_f1,hard_negative_fpr
50,101,CNN motif baseline,0.8736842105263158,0.8818181818181818,0.8770370370370371,0.8733333333333334,0.9516611996611997,0.8939545175521625,1.0,0.82,0.8,0.417910447761194
50,101,RNA-FM frozen k-mer + MLP,0.9894736842105263,0.9897959183673469,0.9899999999999999,0.9897425107177612,0.9999090115045793,0.9998278230405736,0.9844559585492227,1.0,0.9847715736040609,0.04477611940298507
50,101,RNABERT frozen token + MLP,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
50,101,SpliceAI signal proxy,0.9964912280701754,0.9963369963369964,0.9966666666666667,0.9964833374978022,1.0,1.0,1.0,0.994475138121547,0.9949748743718593,0.014925373134328358
100,201,CNN motif baseline,0.8736842105263158,0.8818181818181818,0.8770370370370371,0.8733333333333334,0.9516611996611997,0.8939545175521625,1.0,0.82,0.8,0.417910447761194
100,201,RNA-FM frozen k-mer + MLP,0.9754385964912281,0.9764912280701754,0.9764912280701754,0.9760683760683762,0.9996171295949688,0.9992821557256714,0.9641025641025641,1.0,0.9641025641025641,0.07462686567164178
100,201,RNABERT frozen token + MLP,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
100,201,SpliceAI signal proxy,0.9964912280701754,0.9963369963369964,0.9966666666666667,0.9964833374978022,1.0,1.0,1.0,0.994475138121547,0.9949748743718593,0.014925373134328358
200,401,CNN motif baseline,0.8736842105263158,0.8818181818181818,0.8770370370370371,0.8733333333333334,0.9516611996611997,0.8939545175521625,1.0,0.82,0.8,0.417910447761194
200,401,RNA-FM frozen k-mer + MLP,0.9438596491228071,0.9452626411389297,0.9454385964912281,0.9452861952861952,0.9930939083127449,0.9876117102622864,0.9166666666666666,1.0,0.9191919191919192,0.11940298507462686
200,401,RNABERT frozen token + MLP,0.9894736842105263,0.9892814009661836,0.9899999999999999,0.9895156535069364,1.0,1.0,0.9947643979057592,0.989010989010989,0.9847715736040609,0.04477611940298507
200,401,SpliceAI signal proxy,0.9964912280701754,0.9963369963369964,0.9966666666666667,0.9964833374978022,1.0,1.0,1.0,0.994475138121547,0.9949748743718593,0.014925373134328358
400,801,CNN motif baseline,0.8736842105263158,0.8818181818181818,0.8770370370370371,0.8733333333333334,0.9516611996611997,0.8939545175521625,1.0,0.82,0.8,0.417910447761194
400,801,RNA-FM frozen k-mer + MLP,0.9578947368421052,0.9586064998830955,0.9589473684210527,0.9587580266401629,0.9956834618552071,0.9922507882239658,0.9417989417989417,0.994475138121547,0.94,0.08955223880597014
400,801,RNABERT frozen token + MLP,0.9824561403508771,0.9823433806146573,0.9833333333333334,0.9824614139433171,0.9991545904879238,0.9984290591208463,0.9947643979057592,0.9782608695652174,0.9743589743589743,0.05970149253731343
400,801,SpliceAI signal proxy,0.9964912280701754,0.9963369963369964,0.9966666666666667,0.9964833374978022,1.0,1.0,1.0,0.994475138121547,0.9949748743718593,0.014925373134328358
