accuracy,macro_f1,auroc,auprc,window_flank,model,hard_negative_fpr
0.7894736842105263,0.7865088569058226,0.9054645542623381,0.8269795961377296,10,RNA-FM-style k-mer + signal,0.373134328358209
0.7894736842105263,0.789099789099789,0.9139600112933447,0.8347307590264096,10,RNABERT-style token + position,0.3880597014925373
0.887719298245614,0.8861934710991314,0.9402529195862529,0.8688910360981018,10,SpliceAI signal proxy,0.47761194029850745
0.9894736842105263,0.9897425107177612,0.9999635147612986,0.9999304469920677,50,RNA-FM-style k-mer + signal,0.04477611940298507
1.0,1.0,1.0,1.0,50,RNABERT-style token + position,0.0
0.9964912280701754,0.9964833374978022,0.9999629886296554,0.99992629665897,50,SpliceAI signal proxy,0.014925373134328358
0.9824561403508771,0.9829041845296022,0.9994892066581818,0.9990381608862603,100,RNA-FM-style k-mer + signal,0.04477611940298507
1.0,1.0,1.0,1.0,100,RNABERT-style token + position,0.0
0.9964912280701754,0.9964833374978022,1.0,1.0,100,SpliceAI signal proxy,0.014925373134328358
0.9473684210526315,0.9486963613880923,0.99498664869856,0.9907356001770683,200,RNA-FM-style k-mer + signal,0.1044776119402985
0.9929824561403509,0.992969992969993,0.9999629886296554,0.99992629665897,200,RNABERT-style token + position,0.029850746268656716
0.9964912280701754,0.9964833374978022,1.0,1.0,200,SpliceAI signal proxy,0.014925373134328358
0.9543859649122807,0.955143172752868,0.9946650195902272,0.9905412625556007,400,RNA-FM-style k-mer + signal,0.11940298507462686
0.9824561403508771,0.9824614139433171,0.9994307127640462,0.9989511472123577,400,RNABERT-style token + position,0.05970149253731343
0.9964912280701754,0.9964833374978022,0.9999629886296554,0.9999262966589698,400,SpliceAI signal proxy,0.014925373134328358
